"list_id","display_id","condition","target_object","modal","target_image","competitor_image","other1_image","other2_image","LT","RT","LB","RB","item_id","list_name","trial_in_list","variant","color_pair","marble_orientation","wheel_option","sentence","instruction","mentioned_color","mentioned_color_word","minor_color","major_color","target_loc","competitor_loc"
1,3,"exp","basket","all","basket_5_b","basket_2-3_y-b","vase_5_b","vase_2-3_y-b","vase_5_b","basket_5_b","vase_2-3_y-b","basket_2-3_y-b","3_basket","List1",1,"V1","b-y","y->b","same","In the |basket, all of the flowers are blue.","In the |basket, |all of the flowers are |blue.","b","blue","y","b","RT","RB"
1,3,"exp","vase","notall","vase_2-3_y-b","vase_5_y","basket_2-3_y-b","basket_5_b","basket_2-3_y-b","vase_2-3_y-b","basket_5_b","vase_5_y","3_vase","List1",2,"V1","b-y","y->b","same","In the |vase, not all of the flowers are yellow.","In the |vase, |not all of the flowers are |yellow.","y","yellow","y","b","RT","RB"
1,2,"exp","basket","some","basket_2-3_y-b","basket_5_b","vase_2-3_b-y","vase_5_y","vase_2-3_b-y","basket_2-3_y-b","vase_5_y","basket_5_b","2_basket","List1",3,"V1","b-y","b->y","flipped","In the |basket, some of the flowers are yellow.","In the |basket, |some of the flowers are |yellow.","y","yellow","y","b","RT","RB"
1,2,"exp","vase","none","vase_5_y","vase_2-3_b-y","basket_5_b","basket_2-3_y-b","vase_2-3_b-y","basket_2-3_y-b","vase_5_y","basket_5_b","2_vase","List1",4,"V1","b-y","b->y","flipped","In the |vase, none of the flowers are blue.","In the |vase, |none of the flowers are |blue.","b","blue","b","y","LB","LT"
1,6,"exp","basket","notall","basket_2-3_p-b","basket_5_p","vase_2-3_b-p","vase_5_p","vase_5_p","basket_5_p","vase_2-3_b-p","basket_2-3_p-b","6_basket","List1",5,"V1","b-p","b->p","flipped","In the |basket, not all of the flowers are pink.","In the |basket, |not all of the flowers are |pink.","p","pink","p","b","RB","RT"
1,6,"exp","vase","all","vase_5_p","vase_2-3_b-p","basket_5_b","basket_2-3_p-b","vase_5_p","basket_5_b","vase_2-3_b-p","basket_2-3_p-b","6_vase","List1",6,"V1","b-p","b->p","flipped","In the |vase, all of the flowers are pink.","In the |vase, |all of the flowers are |pink.","p","pink","b","p","LT","LB"
1,7,"exp","basket","none","basket_5_b","basket_2-3_p-b","vase_5_b","vase_2-3_p-b","basket_5_b","vase_5_b","basket_2-3_p-b","vase_2-3_p-b","7_basket","List1",7,"V1","b-p","p->b","same","In the |basket, none of the flowers are pink.","In the |basket, |none of the flowers are |pink.","p","pink","p","b","LT","LB"
1,7,"exp","vase","some","vase_2-3_p-b","vase_5_p","basket_2-3_p-b","basket_5_b","vase_5_p","basket_5_b","vase_2-3_p-b","basket_2-3_p-b","7_vase","List1",8,"V1","b-p","p->b","same","In the |vase, some of the flowers are blue.","In the |vase, |some of the flowers are |blue.","b","blue","p","b","LB","LT"
1,11,"exp","basket","all","basket_5_y","basket_2-3_p-y","vase_5_y","vase_2-3_p-y","basket_2-3_p-y","vase_2-3_p-y","basket_5_y","vase_5_y","11_basket","List1",9,"V1","p-y","p->y","same","In the |basket, all of the flowers are yellow.","In the |basket, |all of the flowers are |yellow.","y","yellow","p","y","LB","LT"
1,11,"exp","vase","notall","vase_2-3_p-y","vase_5_y","basket_2-3_p-y","basket_5_y","vase_2-3_p-y","basket_2-3_p-y","vase_5_y","basket_5_y","11_vase","List1",10,"V1","p-y","p->y","same","In the |vase, not all of the flowers are yellow.","In the |vase, |not all of the flowers are |yellow.","y","yellow","p","y","LT","LB"
1,4,"exp","basket","some","basket_2-3_b-y","basket_5_y","vase_2-3_y-b","vase_5_b","basket_2-3_b-y","vase_2-3_y-b","basket_5_y","vase_5_b","4_basket","List1",11,"V1","b-y","y->b","flipped","In the |basket, some of the flowers are blue.","In the |basket, |some of the flowers are |blue.","b","blue","b","y","LT","LB"
