"list_id","display_id","condition","target_object","modal","target_image","competitor_image","other1_image","other2_image","LT","RT","LB","RB","item_id","list_name","trial_in_list","variant","color_pair","marble_orientation","wheel_option","sentence","instruction","mentioned_color","mentioned_color_word","target_loc","competitor_loc"
2,9,"exp","basket","some","basket_2-3_y-p","basket_5_p","vase_2-3_y-p","vase_5_p","vase_5_p","basket_5_p","vase_2-3_y-p","basket_2-3_y-p","9_basket","List2",1,"V1","p-y","y->p","same","In the |basket, some of the flowers are yellow.","In the |basket, |some of the flowers are |yellow.","y","yellow","RB","RT"
2,9,"exp","vase","none","vase_5_p","vase_2-3_y-p","basket_5_p","basket_2-3_y-p","basket_5_p","vase_5_p","basket_2-3_y-p","vase_2-3_y-p","9_vase","List2",2,"V1","p-y","y->p","same","In the |vase, none of the flowers are yellow.","In the |vase, |none of the flowers are |yellow.","y","yellow","RT","RB"
2,5,"exp","basket","notall","basket_2-3_b-p","basket_5_p","vase_2-3_b-p","vase_5_p","vase_5_p","basket_5_p","vase_2-3_b-p","basket_2-3_b-p","5_basket","List2",3,"V1","b-p","b->p","same","In the |basket, not all of the flowers are pink.","In the |basket, |not all of the flowers are |pink.","p","pink","RB","RT"
2,5,"exp","vase","all","vase_5_p","vase_2-3_b-p","basket_5_p","basket_2-3_b-p","basket_2-3_b-p","vase_2-3_b-p","basket_5_p","vase_5_p","5_vase","List2",4,"V1","b-p","b->p","same","In the |vase, all of the flowers are pink.","In the |vase, |all of the flowers are |pink.","p","pink","RB","RT"
2,8,"exp","basket","none","basket_5_p","basket_2-3_b-p","vase_5_b","vase_2-3_p-b","basket_5_p","vase_5_b","basket_2-3_b-p","vase_2-3_p-b","8_basket","List2",5,"V1","b-p","p->b","flipped","In the |basket, none of the flowers are blue.","In the |basket, |none of the flowers are |blue.","b","blue","LT","LB"
2,8,"exp","vase","some","vase_2-3_p-b","vase_5_b","basket_2-3_b-p","basket_5_p","vase_2-3_p-b","basket_2-3_b-p","vase_5_b","basket_5_p","8_vase","List2",6,"V1","b-p","p->b","flipped","In the |vase, some of the flowers are pink.","In the |vase, |some of the flowers are |pink.","p","pink","LT","LB"
2,7,"exp","basket","all","basket_5_b","basket_2-3_p-b","vase_5_b","vase_2-3_p-b","vase_5_b","basket_5_b","vase_2-3_p-b","basket_2-3_p-b","7_basket","List2",7,"V1","b-p","p->b","same","In the |basket, all of the flowers are blue.","In the |basket, |all of the flowers are |blue.","b","blue","RT","RB"
2,7,"exp","vase","notall","vase_2-3_p-b","vase_5_b","basket_2-3_p-b","basket_5_b","basket_2-3_p-b","vase_2-3_p-b","basket_5_b","vase_5_b","7_vase","List2",8,"V1","b-p","p->b","same","In the |vase, not all of the flowers are blue.","In the |vase, |not all of the flowers are |blue.","b","blue","RT","RB"
2,4,"exp","basket","some","basket_2-3_b-y","basket_5_y","vase_2-3_y-b","vase_5_b","basket_5_y","vase_5_b","basket_2-3_b-y","vase_2-3_y-b","4_basket","List2",9,"V1","b-y","y->b","flipped","In the |basket, some of the flowers are blue.","In the |basket, |some of the flowers are |blue.","b","blue","LB","LT"
2,4,"exp","vase","none","vase_5_b","vase_2-3_y-b","basket_5_y","basket_2-3_b-y","basket_2-3_b-y","vase_2-3_y-b","basket_5_y","vase_5_b","4_vase","List2",10,"V1","b-y","y->b","flipped","In the |vase, none of the flowers are yellow.","In the |vase, |none of the flowers are |yellow.","y","yellow","RB","RT"
2,1,"exp","basket","notall","basket_2-3_b-y","basket_5_y","vase_2-3_b-y","vase_5_y","basket_2-3_b-y","vase_2-3_b-y","basket_5_y","vase_5_y","1_basket","List2",11,"V1","b-y","b->y","same","In the |basket, not all of the flowers are yellow.","In the |basket, |not all of the flowers are |yellow.","y","yellow","LT","LB"
2,1,"exp","vase","all","vase_5_y","vase_2-3_b-y","basket_5_y","basket_2-3_b-y","vase_2-3_b-y","basket_2-3_b-y","vase_5_y","basket_5_y","1_vase","List2",12,"V1","b-y","b->y","same","In the |vase, all of the flowers are yellow.","In the |vase, |all of the flowers are |yellow.","y","yellow","LB","LT"
2,10,"exp","basket","none","basket_5_y","basket_2-3_p-y","vase_5_p","vase_2-3_y-p","basket_2-3_p-y","vase_2-3_y-p","basket_5_y","vase_5_p","10_basket","List2",13,"V1","p-y","y->p","flipped","In the |basket, none of the flowers are pink.","In the |basket, |none of the flowers are |pink.","p","pink","LB","LT"
2,10,"exp","vase","some","vase_2-3_y-p","vase_5_p","basket_2-3_p-y","basket_5_y","basket_2-3_p-y","vase_2-3_y-p","basket_5_y","vase_5_p","10_vase","List2",14,"V1","p-y","y->p","flipped","In the |vase, some of the flowers are yellow.","In the |vase, |some of the flowers are |yellow.","y","yellow","RT","RB"
2,3,"exp","basket","all","basket_5_b","basket_2-3_y-b","vase_5_b","vase_2-3_y-b","basket_5_b","vase_5_b","basket_2-3_y-b","vase_2-3_y-b","3_basket","List2",15,"V1","b-y","y->b","same","In the |basket, all of the flowers are blue.","In the |basket, |all of the flowers are |blue.","b","blue","LT","LB"
2,3,"exp","vase","notall","vase_2-3_y-b","vase_5_b","basket_2-3_y-b","basket_5_b","vase_5_b","basket_5_b","vase_2-3_y-b","basket_2-3_y-b","3_vase","List2",16,"V1","b-y","y->b","same","In the |vase, not all of the flowers are blue.","In the |vase, |not all of the flowers are |blue.","b","blue","LB","LT"
2,2,"filler","basket","0","basket_5_b","basket_2-3_y-b","vase_5_y","vase_2-3_b-y","vase_2-3_b-y","basket_2-3_y-b","vase_5_y","basket_5_b","2_basket","List2",17,"V1","b-y","b->y","flipped","In the |basket, zero of the flowers are yellow.","In the |basket, |zero of the flowers are |yellow.","y","yellow","RB","RT"
2,2,"filler","vase","0","vase_5_y","vase_2-3_b-y","basket_5_b","basket_2-3_y-b","vase_2-3_b-y","basket_2-3_y-b","vase_5_y","basket_5_b","2_vase","List2",18,"V1","b-y","b->y","flipped","In the |vase, zero of the flowers are blue.","In the |vase, |zero of the flowers are |blue.","b","blue","LB","LT"
2,6,"filler","basket","2","basket_2-3_p-b","basket_5_b","vase_2-3_b-p","vase_5_p","basket_2-3_p-b","vase_2-3_b-p","basket_5_b","vase_5_p","6_basket","List2",19,"V1","b-p","b->p","flipped","In the |basket, two of the flowers are pink.","In the |basket, |two of the flowers are |pink.","p","pink","LT","LB"
2,6,"filler","vase","2","vase_2-3_b-p","vase_5_p","basket_2-3_p-b","basket_5_b","basket_2-3_p-b","vase_2-3_b-p","basket_5_b","vase_5_p","6_vase","List2",20,"V1","b-p","b->p","flipped","In the |vase, two of the flowers are blue.","In the |vase, |two of the flowers are |blue.","b","blue","RT","RB"
2,11,"filler","basket","3","basket_2-3_p-y","basket_5_p","vase_2-3_p-y","vase_5_y","vase_5_y","basket_5_p","vase_2-3_p-y","basket_2-3_p-y","11_basket","List2",21,"V1","p-y","p->y","same","In the |basket, three of the flowers are yellow.","In the |basket, |three of the flowers are |yellow.","y","yellow","RB","RT"
2,11,"filler","vase","3","vase_2-3_p-y","vase_5_p","basket_2-3_p-y","basket_5_y","basket_2-3_p-y","vase_2-3_p-y","basket_5_y","vase_5_p","11_vase","List2",22,"V1","p-y","p->y","same","In the |vase, three of the flowers are yellow.","In the |vase, |three of the flowers are |yellow.","y","yellow","RT","RB"
2,12,"filler","basket","5","basket_5_p","basket_2-3_y-p","vase_5_y","vase_2-3_p-y","basket_2-3_y-p","vase_2-3_p-y","basket_5_p","vase_5_y","12_basket","List2",23,"V1","p-y","p->y","flipped","In the |basket, five of the flowers are pink.","In the |basket, |five of the flowers are |pink.","p","pink","LB","LT"
2,12,"filler","vase","5","vase_5_y","vase_2-3_p-y","basket_5_p","basket_2-3_y-p","vase_5_y","basket_5_p","vase_2-3_p-y","basket_2-3_y-p","12_vase","List2",24,"V1","p-y","p->y","flipped","In the |vase, five of the flowers are yellow.","In the |vase, |five of the flowers are |yellow.","y","yellow","LT","LB"
2,13,"typeB","basket","2","basket_2-3_p-b","basket_2-3_b-p","vase_2-3_p-b","vase_2-3_b-p","vase_2-3_p-b","basket_2-3_p-b","vase_2-3_b-p","basket_2-3_b-p","13_basket","List2",25,"V1","b-p","p->b","same","In the |basket, two of the flowers are pink.","In the |basket, |two of the flowers are |pink.","p","pink","RT","RB"
2,14,"typeB","vase","2","vase_2-3_p-b","vase_2-3_b-p","basket_2-3_p-b","basket_2-3_b-p","basket_2-3_p-b","vase_2-3_p-b","basket_2-3_b-p","vase_2-3_b-p","14_vase","List2",26,"V1","b-p","p->b","same","In the |vase, two of the flowers are pink.","In the |vase, |two of the flowers are |pink.","p","pink","RT","RB"
2,15,"typeB","basket","3","basket_2-3_p-b","basket_2-3_b-p","vase_2-3_p-b","vase_2-3_b-p","vase_2-3_b-p","basket_2-3_b-p","vase_2-3_p-b","basket_2-3_p-b","15_basket","List2",27,"V1","b-p","p->b","same","In the |basket, three of the flowers are blue.","In the |basket, |three of the flowers are |blue.","b","blue","RB","RT"
2,16,"typeB","vase","3","vase_2-3_y-b","vase_2-3_b-y","basket_2-3_y-b","basket_2-3_b-y","vase_2-3_y-b","basket_2-3_y-b","vase_2-3_b-y","basket_2-3_b-y","16_vase","List2",28,"V1","b-y","y->b","same","In the |vase, three of the flowers are blue.","In the |vase, |three of the flowers are |blue.","b","blue","LT","LB"
2,17,"typeB","basket","5","basket_5_b","basket_5_y","vase_5_b","vase_5_y","basket_5_y","vase_5_y","basket_5_b","vase_5_b","17_basket","List2",29,"V1","b-y","y->b","same","In the |basket, five of the flowers are blue.","In the |basket, |five of the flowers are |blue.","b","blue","LB","LT"
2,18,"typeB","vase","5","vase_5_p","vase_5_y","basket_5_p","basket_5_y","vase_5_p","basket_5_p","vase_5_y","basket_5_y","18_vase","List2",30,"V1","p-y","y->p","same","In the |vase, five of the flowers are pink.","In the |vase, |five of the flowers are |pink.","p","pink","LT","LB"
2,19,"typeB","basket","0","basket_5_y","basket_5_b","vase_5_y","vase_5_b","vase_5_b","basket_5_b","vase_5_y","basket_5_y","19_basket","List2",31,"V1","b-y","b->y","same","In the |basket, zero of the flowers are blue.","In the |basket, |zero of the flowers are |blue.","b","blue","RB","RT"
2,20,"typeB","vase","0","vase_5_y","vase_5_p","basket_5_y","basket_5_p","vase_5_p","basket_5_p","vase_5_y","basket_5_y","20_vase","List2",32,"V1","p-y","p->y","same","In the |vase, zero of the flowers are pink.","In the |vase, |zero of the flowers are |pink.","p","pink","LB","LT"
