"list_id","display_id","condition","target_object","modal","target_image","competitor_image","other1_image","other2_image","LT","RT","LB","RB","item_id","list_name","trial_in_list","variant","color_pair","marble_orientation","wheel_option","sentence","instruction","mentioned_color","mentioned_color_word","target_loc","competitor_loc"
1,2,"exp","basket","all","basket_5_b","basket_2-3_y-b","vase_5_y","vase_2-3_b-y","basket_2-3_y-b","vase_2-3_b-y","basket_5_b","vase_5_y","2_basket","List1",1,"V2","b-y","b->y","flipped","In the |basket, all of the flowers are blue.","In the |basket, |all of the flowers are |blue.","b","blue","LB","LT"
1,2,"exp","vase","notall","vase_2-3_b-y","vase_5_y","basket_2-3_y-b","basket_5_b","vase_2-3_b-y","basket_2-3_y-b","vase_5_y","basket_5_b","2_vase","List1",2,"V2","b-y","b->y","flipped","In the |vase, not all of the flowers are yellow.","In the |vase, |not all of the flowers are |yellow.","y","yellow","LT","LB"
1,3,"exp","basket","some","basket_2-3_y-b","basket_5_b","vase_2-3_y-b","vase_5_b","vase_5_b","basket_5_b","vase_2-3_y-b","basket_2-3_y-b","3_basket","List1",3,"V2","b-y","y->b","same","In the |basket, some of the flowers are yellow.","In the |basket, |some of the flowers are |yellow.","y","yellow","RB","RT"
1,3,"exp","vase","none","vase_5_b","vase_2-3_y-b","basket_5_b","basket_2-3_y-b","vase_5_b","basket_5_b","vase_2-3_y-b","basket_2-3_y-b","3_vase","List1",4,"V2","b-y","y->b","same","In the |vase, none of the flowers are yellow.","In the |vase, |none of the flowers are |yellow.","y","yellow","LT","LB"
1,12,"exp","basket","notall","basket_2-3_y-p","basket_5_p","vase_2-3_p-y","vase_5_y","basket_5_p","vase_5_y","basket_2-3_y-p","vase_2-3_p-y","12_basket","List1",5,"V2","p-y","p->y","flipped","In the |basket, not all of the flowers are pink.","In the |basket, |not all of the flowers are |pink.","p","pink","LB","LT"
1,12,"exp","vase","all","vase_5_y","vase_2-3_p-y","basket_5_p","basket_2-3_y-p","basket_2-3_y-p","vase_2-3_p-y","basket_5_p","vase_5_y","12_vase","List1",6,"V2","p-y","p->y","flipped","In the |vase, all of the flowers are yellow.","In the |vase, |all of the flowers are |yellow.","y","yellow","RB","RT"
1,4,"exp","basket","none","basket_5_y","basket_2-3_b-y","vase_5_b","vase_2-3_y-b","basket_2-3_b-y","vase_2-3_y-b","basket_5_y","vase_5_b","4_basket","List1",7,"V2","b-y","y->b","flipped","In the |basket, none of the flowers are blue.","In the |basket, |none of the flowers are |blue.","b","blue","LB","LT"
1,4,"exp","vase","some","vase_2-3_y-b","vase_5_b","basket_2-3_b-y","basket_5_y","vase_5_b","basket_5_y","vase_2-3_y-b","basket_2-3_b-y","4_vase","List1",8,"V2","b-y","y->b","flipped","In the |vase, some of the flowers are yellow.","In the |vase, |some of the flowers are |yellow.","y","yellow","LB","LT"
1,7,"exp","basket","all","basket_5_b","basket_2-3_p-b","vase_5_b","vase_2-3_p-b","basket_5_b","vase_5_b","basket_2-3_p-b","vase_2-3_p-b","7_basket","List1",9,"V2","b-p","p->b","same","In the |basket, all of the flowers are blue.","In the |basket, |all of the flowers are |blue.","b","blue","LT","LB"
1,7,"exp","vase","notall","vase_2-3_p-b","vase_5_b","basket_2-3_p-b","basket_5_b","basket_2-3_p-b","vase_2-3_p-b","basket_5_b","vase_5_b","7_vase","List1",10,"V2","b-p","p->b","same","In the |vase, not all of the flowers are blue.","In the |vase, |not all of the flowers are |blue.","b","blue","RT","RB"
1,8,"exp","basket","some","basket_2-3_b-p","basket_5_p","vase_2-3_p-b","vase_5_b","vase_2-3_p-b","basket_2-3_b-p","vase_5_b","basket_5_p","8_basket","List1",11,"V2","b-p","p->b","flipped","In the |basket, some of the flowers are blue.","In the |basket, |some of the flowers are |blue.","b","blue","RT","RB"
1,8,"exp","vase","none","vase_5_b","vase_2-3_p-b","basket_5_p","basket_2-3_b-p","basket_5_p","vase_5_b","basket_2-3_b-p","vase_2-3_p-b","8_vase","List1",12,"V2","b-p","p->b","flipped","In the |vase, none of the flowers are pink.","In the |vase, |none of the flowers are |pink.","p","pink","RT","RB"
1,10,"exp","basket","notall","basket_2-3_p-y","basket_5_y","vase_2-3_y-p","vase_5_p","vase_5_p","basket_5_y","vase_2-3_y-p","basket_2-3_p-y","10_basket","List1",13,"V2","p-y","y->p","flipped","In the |basket, not all of the flowers are yellow.","In the |basket, |not all of the flowers are |yellow.","y","yellow","RB","RT"
1,10,"exp","vase","all","vase_5_p","vase_2-3_y-p","basket_5_y","basket_2-3_p-y","basket_5_y","vase_5_p","basket_2-3_p-y","vase_2-3_y-p","10_vase","List1",14,"V2","p-y","y->p","flipped","In the |vase, all of the flowers are pink.","In the |vase, |all of the flowers are |pink.","p","pink","RT","RB"
1,11,"exp","basket","none","basket_5_y","basket_2-3_p-y","vase_5_y","vase_2-3_p-y","vase_2-3_p-y","basket_2-3_p-y","vase_5_y","basket_5_y","11_basket","List1",15,"V2","p-y","p->y","same","In the |basket, none of the flowers are pink.","In the |basket, |none of the flowers are |pink.","p","pink","RB","RT"
1,11,"exp","vase","some","vase_2-3_p-y","vase_5_y","basket_2-3_p-y","basket_5_y","vase_2-3_p-y","basket_2-3_p-y","vase_5_y","basket_5_y","11_vase","List1",16,"V2","p-y","p->y","same","In the |vase, some of the flowers are pink.","In the |vase, |some of the flowers are |pink.","p","pink","LT","LB"
1,1,"filler","basket","0","basket_5_y","basket_2-3_b-y","vase_5_y","vase_2-3_b-y","basket_2-3_b-y","vase_2-3_b-y","basket_5_y","vase_5_y","1_basket","List1",17,"V2","b-y","b->y","same","In the |basket, zero of the flowers are blue.","In the |basket, |zero of the flowers are |blue.","b","blue","LB","LT"
1,1,"filler","vase","0","vase_5_y","vase_2-3_b-y","basket_5_y","basket_2-3_b-y","vase_5_y","basket_5_y","vase_2-3_b-y","basket_2-3_b-y","1_vase","List1",18,"V2","b-y","b->y","same","In the |vase, zero of the flowers are blue.","In the |vase, |zero of the flowers are |blue.","b","blue","LT","LB"
