"list_id","display_id","condition","target_object","modal","target_image","competitor_image","other1_image","other2_image","LT","RT","LB","RB","item_id","list_name","trial_in_list","variant","color_pair","marble_orientation","wheel_option","sentence","instruction","mentioned_color","mentioned_color_word","target_loc","competitor_loc"
4,1,"exp","basket","none","basket_5_y","basket_2-3_b-y","vase_5_y","vase_2-3_b-y","basket_2-3_b-y","vase_2-3_b-y","basket_5_y","vase_5_y","1_basket","List4",1,"V1","b-y","b->y","same","In the |basket, none of the flowers are blue.","In the |basket, |none of the flowers are |blue.","b","blue","LB","LT"
4,1,"exp","vase","some","vase_2-3_b-y","vase_5_y","basket_2-3_b-y","basket_5_y","basket_2-3_b-y","vase_2-3_b-y","basket_5_y","vase_5_y","1_vase","List4",2,"V1","b-y","b->y","same","In the |vase, some of the flowers are blue.","In the |vase, |some of the flowers are |blue.","b","blue","RT","RB"
4,5,"exp","basket","all","basket_5_p","basket_2-3_b-p","vase_5_p","vase_2-3_b-p","vase_5_p","basket_5_p","vase_2-3_b-p","basket_2-3_b-p","5_basket","List4",3,"V1","b-p","b->p","same","In the |basket, all of the flowers are pink.","In the |basket, |all of the flowers are |pink.","p","pink","RT","RB"
4,5,"exp","vase","notall","vase_2-3_b-p","vase_5_p","basket_2-3_b-p","basket_5_p","vase_2-3_b-p","basket_2-3_b-p","vase_5_p","basket_5_p","5_vase","List4",4,"V1","b-p","b->p","same","In the |vase, not all of the flowers are pink.","In the |vase, |not all of the flowers are |pink.","p","pink","LT","LB"
4,7,"exp","basket","some","basket_2-3_p-b","basket_5_b","vase_2-3_p-b","vase_5_b","vase_5_b","basket_5_b","vase_2-3_p-b","basket_2-3_p-b","7_basket","List4",5,"V1","b-p","p->b","same","In the |basket, some of the flowers are pink.","In the |basket, |some of the flowers are |pink.","p","pink","RB","RT"
4,7,"exp","vase","none","vase_5_b","vase_2-3_p-b","basket_5_b","basket_2-3_p-b","basket_5_b","vase_5_b","basket_2-3_p-b","vase_2-3_p-b","7_vase","List4",6,"V1","b-p","p->b","same","In the |vase, none of the flowers are pink.","In the |vase, |none of the flowers are |pink.","p","pink","RT","RB"
4,2,"exp","basket","notall","basket_2-3_y-b","basket_5_b","vase_2-3_b-y","vase_5_y","basket_5_b","vase_5_y","basket_2-3_y-b","vase_2-3_b-y","2_basket","List4",7,"V1","b-y","b->y","flipped","In the |basket, not all of the flowers are blue.","In the |basket, |not all of the flowers are |blue.","b","blue","LB","LT"
4,2,"exp","vase","all","vase_5_y","vase_2-3_b-y","basket_5_b","basket_2-3_y-b","vase_5_y","basket_5_b","vase_2-3_b-y","basket_2-3_y-b","2_vase","List4",8,"V1","b-y","b->y","flipped","In the |vase, all of the flowers are yellow.","In the |vase, |all of the flowers are |yellow.","y","yellow","LT","LB"
4,6,"exp","basket","none","basket_5_b","basket_2-3_p-b","vase_5_p","vase_2-3_b-p","basket_5_b","vase_5_p","basket_2-3_p-b","vase_2-3_b-p","6_basket","List4",9,"V1","b-p","b->p","flipped","In the |basket, none of the flowers are pink.","In the |basket, |none of the flowers are |pink.","p","pink","LT","LB"
4,6,"exp","vase","some","vase_2-3_b-p","vase_5_p","basket_2-3_p-b","basket_5_b","vase_5_p","basket_5_b","vase_2-3_b-p","basket_2-3_p-b","6_vase","List4",10,"V1","b-p","b->p","flipped","In the |vase, some of the flowers are blue.","In the |vase, |some of the flowers are |blue.","b","blue","LB","LT"
