"list_id","display_id","condition","target_object","modal","target_image","competitor_image","other1_image","other2_image","LT","RT","LB","RB","item_id","list_name","trial_in_list","variant","color_pair","marble_orientation","wheel_option","sentence","instruction","mentioned_color","mentioned_color_word","target_loc","competitor_loc"
4,10,"exp","basket","none","basket_5_y","basket_2-3_p-y","vase_5_p","vase_2-3_y-p","basket_2-3_p-y","vase_2-3_y-p","basket_5_y","vase_5_p","10_basket","List4",1,"V3","p-y","y->p","flipped","In the |basket, none of the flowers are pink.","In the |basket, |none of the flowers are |pink.","p","pink","LB","LT"
4,10,"exp","vase","some","vase_2-3_y-p","vase_5_p","basket_2-3_p-y","basket_5_y","vase_5_p","basket_5_y","vase_2-3_y-p","basket_2-3_p-y","10_vase","List4",2,"V3","p-y","y->p","flipped","In the |vase, some of the flowers are yellow.","In the |vase, |some of the flowers are |yellow.","y","yellow","LB","LT"
4,9,"exp","basket","all","basket_5_p","basket_2-3_y-p","vase_5_p","vase_2-3_y-p","basket_2-3_y-p","vase_2-3_y-p","basket_5_p","vase_5_p","9_basket","List4",3,"V3","p-y","y->p","same","In the |basket, all of the flowers are pink.","In the |basket, |all of the flowers are |pink.","p","pink","LB","LT"
4,9,"exp","vase","notall","vase_2-3_y-p","vase_5_p","basket_2-3_y-p","basket_5_p","basket_2-3_y-p","vase_2-3_y-p","basket_5_p","vase_5_p","9_vase","List4",4,"V3","p-y","y->p","same","In the |vase, not all of the flowers are pink.","In the |vase, |not all of the flowers are |pink.","p","pink","RT","RB"
4,11,"exp","basket","some","basket_2-3_p-y","basket_5_y","vase_2-3_p-y","vase_5_y","vase_2-3_p-y","basket_2-3_p-y","vase_5_y","basket_5_y","11_basket","List4",5,"V3","p-y","p->y","same","In the |basket, some of the flowers are pink.","In the |basket, |some of the flowers are |pink.","p","pink","RT","RB"
4,11,"exp","vase","none","vase_5_y","vase_2-3_p-y","basket_5_y","basket_2-3_p-y","vase_5_y","basket_5_y","vase_2-3_p-y","basket_2-3_p-y","11_vase","List4",6,"V3","p-y","p->y","same","In the |vase, none of the flowers are pink.","In the |vase, |none of the flowers are |pink.","p","pink","LT","LB"
4,6,"exp","basket","notall","basket_2-3_p-b","basket_5_b","vase_2-3_b-p","vase_5_p","vase_5_p","basket_5_b","vase_2-3_b-p","basket_2-3_p-b","6_basket","List4",7,"V3","b-p","b->p","flipped","In the |basket, not all of the flowers are blue.","In the |basket, |not all of the flowers are |blue.","b","blue","RB","RT"
4,6,"exp","vase","all","vase_5_p","vase_2-3_b-p","basket_5_b","basket_2-3_p-b","vase_5_p","basket_5_b","vase_2-3_b-p","basket_2-3_p-b","6_vase","List4",8,"V3","b-p","b->p","flipped","In the |vase, all of the flowers are pink.","In the |vase, |all of the flowers are |pink.","p","pink","LT","LB"
4,2,"exp","basket","none","basket_5_b","basket_2-3_y-b","vase_5_y","vase_2-3_b-y","vase_5_y","basket_5_b","vase_2-3_b-y","basket_2-3_y-b","2_basket","List4",9,"V3","b-y","b->y","flipped","In the |basket, none of the flowers are yellow.","In the |basket, |none of the flowers are |yellow.","y","yellow","RT","RB"
4,2,"exp","vase","some","vase_2-3_b-y","vase_5_y","basket_2-3_y-b","basket_5_b","basket_5_b","vase_5_y","basket_2-3_y-b","vase_2-3_b-y","2_vase","List4",10,"V3","b-y","b->y","flipped","In the |vase, some of the flowers are blue.","In the |vase, |some of the flowers are |blue.","b","blue","RB","RT"
4,1,"exp","basket","all","basket_5_y","basket_2-3_b-y","vase_5_y","vase_2-3_b-y","vase_2-3_b-y","basket_2-3_b-y","vase_5_y","basket_5_y","1_basket","List4",11,"V3","b-y","b->y","same","In the |basket, all of the flowers are yellow.","In the |basket, |all of the flowers are |yellow.","y","yellow","RB","RT"
