"list_id","display_id","condition","target_object","modal","target_image","competitor_image","other1_image","other2_image","LT","RT","LB","RB","item_id","list_name","trial_in_list","variant","color_pair","marble_orientation","wheel_option","sentence","instruction","mentioned_color","mentioned_color_word","target_loc","competitor_loc"
4,6,"exp","basket","none","basket_5_b","basket_2-3_p-b","vase_5_p","vase_2-3_b-p","basket_2-3_p-b","vase_2-3_b-p","basket_5_b","vase_5_p","6_basket","List4",1,"V2","b-p","b->p","flipped","In the |basket, none of the flowers are pink.","In the |basket, |none of the flowers are |pink.","p","pink","LB","LT"
4,6,"exp","vase","some","vase_2-3_b-p","vase_5_p","basket_2-3_p-b","basket_5_b","basket_2-3_p-b","vase_2-3_b-p","basket_5_b","vase_5_p","6_vase","List4",2,"V2","b-p","b->p","flipped","In the |vase, some of the flowers are blue.","In the |vase, |some of the flowers are |blue.","b","blue","RT","RB"
4,2,"exp","basket","all","basket_5_b","basket_2-3_y-b","vase_5_y","vase_2-3_b-y","vase_2-3_b-y","basket_2-3_y-b","vase_5_y","basket_5_b","2_basket","List4",3,"V2","b-y","b->y","flipped","In the |basket, all of the flowers are blue.","In the |basket, |all of the flowers are |blue.","b","blue","RB","RT"
4,2,"exp","vase","notall","vase_2-3_b-y","vase_5_y","basket_2-3_y-b","basket_5_b","vase_5_y","basket_5_b","vase_2-3_b-y","basket_2-3_y-b","2_vase","List4",4,"V2","b-y","b->y","flipped","In the |vase, not all of the flowers are yellow.","In the |vase, |not all of the flowers are |yellow.","y","yellow","LB","LT"
4,10,"exp","basket","some","basket_2-3_p-y","basket_5_y","vase_2-3_y-p","vase_5_p","basket_5_y","vase_5_p","basket_2-3_p-y","vase_2-3_y-p","10_basket","List4",5,"V2","p-y","y->p","flipped","In the |basket, some of the flowers are pink.","In the |basket, |some of the flowers are |pink.","p","pink","LB","LT"
4,10,"exp","vase","none","vase_5_p","vase_2-3_y-p","basket_5_y","basket_2-3_p-y","vase_5_p","basket_5_y","vase_2-3_y-p","basket_2-3_p-y","10_vase","List4",6,"V2","p-y","y->p","flipped","In the |vase, none of the flowers are yellow.","In the |vase, |none of the flowers are |yellow.","y","yellow","LT","LB"
4,5,"exp","basket","notall","basket_2-3_b-p","basket_5_p","vase_2-3_b-p","vase_5_p","vase_2-3_b-p","basket_2-3_b-p","vase_5_p","basket_5_p","5_basket","List4",7,"V2","b-p","b->p","same","In the |basket, not all of the flowers are pink.","In the |basket, |not all of the flowers are |pink.","p","pink","RT","RB"
4,5,"exp","vase","all","vase_5_p","vase_2-3_b-p","basket_5_p","basket_2-3_b-p","vase_2-3_b-p","basket_2-3_b-p","vase_5_p","basket_5_p","5_vase","List4",8,"V2","b-p","b->p","same","In the |vase, all of the flowers are pink.","In the |vase, |all of the flowers are |pink.","p","pink","LB","LT"
4,9,"exp","basket","none","basket_5_p","basket_2-3_y-p","vase_5_p","vase_2-3_y-p","vase_2-3_y-p","basket_2-3_y-p","vase_5_p","basket_5_p","9_basket","List4",9,"V2","p-y","y->p","same","In the |basket, none of the flowers are yellow.","In the |basket, |none of the flowers are |yellow.","y","yellow","RB","RT"
4,9,"exp","vase","some","vase_2-3_y-p","vase_5_p","basket_2-3_y-p","basket_5_p","basket_5_p","vase_5_p","basket_2-3_y-p","vase_2-3_y-p","9_vase","List4",10,"V2","p-y","y->p","same","In the |vase, some of the flowers are yellow.","In the |vase, |some of the flowers are |yellow.","y","yellow","RB","RT"
