"list_id","list_name","condition","display_id","target_object","adj","degree","target_image","competitor_image","other1_image","other2_image","LT","RT","LB","RB","mentioned_color","mentioned_color_word","sentence","instruction","target_loc","competitor_loc","item_id","trial_in_list"
4,"List4","exp",1,"beaker","warm",60,"beaker-warm-orange.png","beaker-hot-green.png","flask-warm-orange.png","flask-hot-green.png","flask-warm-orange.png","beaker-warm-orange.png","flask-hot-green.png","beaker-hot-green.png","o","orange","The water | in the beaker | is warm | and orange.","The water | in the beaker | is warm | and orange.","RT","RB","1_beaker",1
4,"List4","exp",1,"flask","warm",60,"flask-warm-orange.png","flask-hot-green.png","beaker-warm-orange.png","beaker-hot-green.png","flask-hot-green.png","beaker-hot-green.png","flask-warm-orange.png","beaker-warm-orange.png","o","orange","The water | in the flask | is warm | and orange.","The water | in the flask | is warm | and orange.","LB","LT","1_flask",2
4,"List4","exp",2,"beaker","warm",60,"beaker-warm-green.png","beaker-hot-purple.png","flask-warm-purple.png","flask-hot-green.png","flask-hot-green.png","beaker-hot-purple.png","flask-warm-purple.png","beaker-warm-green.png","g","green","The water | in the beaker | is warm | and green.","The water | in the beaker | is warm | and green.","RB","RT","2_beaker",3
4,"List4","exp",2,"flask","warm",60,"flask-warm-purple.png","flask-hot-green.png","beaker-warm-green.png","beaker-hot-purple.png","flask-warm-purple.png","beaker-warm-green.png","flask-hot-green.png","beaker-hot-purple.png","p","purple","The water | in the flask | is warm | and purple.","The water | in the flask | is warm | and purple.","LT","LB","2_flask",4
4,"List4","exp",3,"beaker","boiling",100,"beaker-hot-green.png","beaker-warm-orange.png","flask-hot-green.png","flask-warm-orange.png","flask-hot-green.png","beaker-hot-green.png","flask-warm-orange.png","beaker-warm-orange.png","g","green","The water | in the beaker | is boiling | and green.","The water | in the beaker | is boiling | and green.","RT","RB","3_beaker",5
4,"List4","exp",3,"flask","boiling",100,"flask-hot-green.png","flask-warm-orange.png","beaker-hot-green.png","beaker-warm-orange.png","flask-warm-orange.png","beaker-warm-orange.png","flask-hot-green.png","beaker-hot-green.png","g","green","The water | in the flask | is boiling | and green.","The water | in the flask | is boiling | and green.","LB","LT","3_flask",6
4,"List4","exp",4,"beaker","boiling",100,"beaker-hot-orange.png","beaker-warm-purple.png","flask-hot-purple.png","flask-warm-orange.png","flask-warm-orange.png","beaker-warm-purple.png","flask-hot-purple.png","beaker-hot-orange.png","o","orange","The water | in the beaker | is boiling | and orange.","The water | in the beaker | is boiling | and orange.","RB","RT","4_beaker",7
4,"List4","exp",4,"flask","boiling",100,"flask-hot-purple.png","flask-warm-orange.png","beaker-hot-orange.png","beaker-warm-purple.png","flask-hot-purple.png","beaker-hot-orange.png","flask-warm-orange.png","beaker-warm-purple.png","p","purple","The water | in the flask | is boiling | and purple.","The water | in the flask | is boiling | and purple.","LT","LB","4_flask",8
4,"List4","exp",5,"beaker","cool",10,"beaker-cool-purple.png","beaker-cold-orange.png","flask-cool-purple.png","flask-cold-orange.png","beaker-cold-orange.png","flask-cold-orange.png","beaker-cool-purple.png","flask-cool-purple.png","p","purple","The water | in the beaker | is cool | and purple.","The water | in the beaker | is cool | and purple.","LB","LT","5_beaker",9
4,"List4","exp",5,"flask","cool",10,"flask-cool-purple.png","flask-cold-orange.png","beaker-cool-purple.png","beaker-cold-orange.png","beaker-cold-orange.png","flask-cold-orange.png","beaker-cool-purple.png","flask-cool-purple.png","p","purple","The water | in the flask | is cool | and purple.","The water | in the flask | is cool | and purple.","RB","RT","5_flask",10
4,"List4","exp",6,"beaker","cool",10,"beaker-cool-orange.png","beaker-cold-green.png","flask-cool-green.png","flask-cold-orange.png","beaker-cool-orange.png","flask-cool-green.png","beaker-cold-green.png","flask-cold-orange.png","o","orange","The water | in the beaker | is cool | and orange.","The water | in the beaker | is cool | and orange.","LT","LB","6_beaker",11
