"Participant","DisplayID","Polarity","Type","Window","Bin","Target","Total","elog","Time"
1643820476,22,"Neg","Sem","Critical",3300,0,2,-1.6094379124341,0.2
1643820476,22,"Neg","Sem","Critical",3400,0,2,-1.6094379124341,0.3
1643820476,22,"Neg","Sem","Critical",3500,1,3,-0.510825623765991,0.4
1643820476,22,"Neg","Sem","Critical",3600,1,2,0,0.5
1643820476,22,"Neg","Sem","Critical",3700,1,2,0,0.6
1643820476,22,"Neg","Sem","Critical",3800,1,1,1.09861228866811,0.7
1643820476,22,"Neg","Sem","Critical",3900,1,2,0,0.8
1643820476,22,"Neg","Sem","Critical",4000,1,2,0,0.9
1643820476,22,"Neg","Sem","Critical",4100,2,3,0.510825623765991,1
1643820476,24,"Pos","Prag","Critical",3100,1,2,0,0
1643820476,24,"Pos","Prag","Critical",3200,1,2,0,0.1
1643820476,24,"Pos","Prag","Critical",3300,2,2,1.6094379124341,0.2
1643820476,24,"Pos","Prag","Critical",3400,1,2,0,0.3
1643820476,24,"Pos","Prag","Critical",3500,1,3,-0.510825623765991,0.4
1643820476,24,"Pos","Prag","Critical",3600,1,2,0,0.5
1643820476,24,"Pos","Prag","Critical",3700,1,2,0,0.6
1643820476,24,"Pos","Prag","Critical",3800,2,2,1.6094379124341,0.7
1643820476,24,"Pos","Prag","Critical",3900,2,2,1.6094379124341,0.8
1643820476,24,"Pos","Prag","Critical",4000,2,2,1.6094379124341,0.9
1643820476,24,"Pos","Prag","Critical",4100,2,2,1.6094379124341,1
1643821127,1,"Pos","Prag","Critical",3100,1,1,1.09861228866811,0
1643821127,1,"Pos","Prag","Critical",3200,1,2,0,0.1
1643821127,1,"Pos","Prag","Critical",3300,0,1,-1.09861228866811,0.2
1643821127,1,"Pos","Prag","Critical",3400,2,2,1.6094379124341,0.3
1643821127,1,"Pos","Prag","Critical",3500,0,2,-1.6094379124341,0.4
1643821127,1,"Pos","Prag","Critical",3600,0,1,-1.09861228866811,0.5
1643821127,1,"Pos","Prag","Critical",3700,0,2,-1.6094379124341,0.6
1643821127,1,"Pos","Prag","Critical",3800,1,2,0,0.7
1643821127,1,"Pos","Prag","Critical",3900,1,1,1.09861228866811,0.8
1643821127,1,"Pos","Prag","Critical",4000,2,2,1.6094379124341,0.9
1643821127,1,"Pos","Prag","Critical",4100,0,1,-1.09861228866811,1
1643821127,2,"Pos","Sem","Critical",3100,1,1,1.09861228866811,0
